Cooper's hawk, Accipiter cooperii
northern goshawk, Accipiter gentilis
sharp-shinned hawk, Accipiter striatus
golden eagle, Aquila chrysaetos
white-tailed hawk, Buteo albicaudatus
zone-tailed hawk, Buteo albonotatus
red-tailed hawk, Buteo jamaicensis
rough-legged hawk, Buteo lagopus
red-shouldered hawk, Buteo lineatus
broad-winged hawk, Buteo platypterus
ferruginous hawk, Buteo regalis
Swainson's hawk, Buteo swainsoni
common black-hawk, Buteogallus anthracinus
northern harrier, Circus cyaneus
swallow-tailed kite, Elanoides forficatus
white-tailed kite, Elanus leucurus
bald eagle, Haliaeetus leucocephalus
Mississippi kite, Ictinia mississippiensis
Harris's hawk, Parabuteo unicinctus
snail kite, Rostrhamus sociabilis
bushtit, Psaltriparus minimus
horned lark, Eremophila alpestris
belted kingfisher, Megaceryle alcyon
pigeon guillemot, Cepphus columba
black guillemot, Cepphus grylle
common murre, Uria aalge
northern pintail, Anas acuta
American wigeon, Anas americana
green-winged teal, Anas crecca
cinnamon teal, Anas cyanoptera
blue-winged teal, Anas discors
mottled duck, Anas fulvigula
Eurasian wigeon, Anas penelope
mallard, Anas platyrhynchos
American black duck, Anas rubripes
gadwall, Anas strepera
lesser scaup, Aythya affinis
redhead, Aythya americana
ring-necked duck, Aythya collaris
greater scaup, Aythya marila
canvasback, Aythya valisineria
bufflehead, Bucephala albeola
common goldeneye, Bucephala clangula
Barrow's goldeneye, Bucephala islandica
Muscovy duck, Cairina moschata
long-tailed duck, Clangula hyemalis
harlequin duck, Histrionicus histrionicus
hooded merganser, Lophodytes cucullatus
black scoter, Melanitta americana
white-winged scoter, Melanitta fusca
surf scoter, Melanitta perspicillata
common merganser, Mergus merganser
red-breasted merganser, Mergus serrator
ruddy duck, Oxyura jamaicensis
common eider, Somateria mollissima
greater white-fronted goose, Anser albifrons
brant, Branta bernicla
Canada goose, Branta canadensis
cackling goose, Branta hutchinsii
snow goose, Chen caerulescens
Ross's goose, Chen rossii
trumpeter swan, Cygnus buccinator
tundra swan, Cygnus columbianus
mute swan, Cygnus olor
fulvous whistling-duck, Dendrocygna bicolor
anhinga, Anhinga anhinga
white-throated swift, Aeronautes saxatalis
chimney swift, Chaetura pelagica
limpkin, Aramus guarauna
great egret, Ardea alba
great blue heron, Ardea herodias
American bittern, Botaurus lentiginosus
cattle egret, Bubulcus ibis
little blue heron, Egretta caerulea
reddish egret, Egretta rufescens
snowy egret, Egretta thula
tricolored heron, Egretta tricolor
least bittern, Ixobrychus exilis
yellow-crowned night-heron, Nyctanassa violacea
black-crowned night-heron, Nycticorax nycticorax
cedar waxwing, Bombycilla cedrorum
Bohemian waxwing, Bombycilla garrulus
Lapland longspur, Calcarius lapponicus
chestnut-collared longspur, Calcarius ornatus
snow bunting, Plectrophenax nivalis
lesser nighthawk, Chordeiles acutipennis
common nighthawk, Chordeiles minor
northern cardinal, Cardinalis cardinalis
pyrrhuloxia, Cardinalis sinuatus
lazuli bunting, Passerina amoena
blue grosbeak, Passerina caerulea
painted bunting, Passerina ciris
indigo bunting, Passerina cyanea
rose-breasted grosbeak, Pheucticus ludovicianus
black-headed grosbeak, Pheucticus melanocephalus
hepatic tanager, Piranga flava
western tanager, Piranga ludoviciana
scarlet tanager, Piranga olivacea
summer tanager, Piranga rubra
dickcissel, Spiza americana
turkey vulture, Cathartes aura
black vulture, Coragyps atratus
brown creeper, Certhia americana
piping plover, Charadrius melodus
mountain plover, Charadrius montanus
snowy plover, Charadrius nivosus
semipalmated plover, Charadrius semipalmatus
killdeer, Charadrius vociferus
Wilson's plover, Charadrius wilsonia
American golden-plover, Pluvialis dominica
Pacific golden-plover, Pluvialis fulva
black-bellied plover, Pluvialis squatarola
wood stork, Mycteria americana
American dipper, Cinclus mexicanus
rock pigeon, Columba livia
inca dove, Columbina inca
common ground-dove, Columbina passerina
band-tailed pigeon, Patagioenas fasciata
Eurasian collared-dove, Streptopelia decaocto
white-winged dove, Zenaida asiatica
mourning dove, Zenaida macroura
western scrub-jay, Aphelocoma californica
Florida scrub-jay, Aphelocoma coerulescens
Mexican jay, Aphelocoma wollweberi
American crow, Corvus brachyrhynchos
common raven, Corvus corax
Chihuahuan raven, Corvus cryptoleucus
fish crow, Corvus ossifragus
blue jay, Cyanocitta cristata
Steller's jay, Cyanocitta stelleri
green jay, Cyanocorax yncas
Clark's nutcracker, Nucifraga columbiana
gray jay, Perisoreus canadensis
black-billed magpie, Pica hudsonia
yellow-billed magpie, Pica nuttalli
groove-billed ani, Crotophaga sulcirostris
yellow-billed cuckoo, Coccyzus americanus
black-billed cuckoo, Coccyzus erythropthalmus
greater roadrunner, Geococcyx californianus
rufous-crowned sparrow, Aimophila ruficeps
saltmarsh sparrow, Ammodramus caudacutus
Henslow's sparrow, Ammodramus henslowii
LeConte's sparrow, Ammodramus leconteii
seaside sparrow, Ammodramus maritimus
Nelson's sparrow, Ammodramus nelsoni
grasshopper sparrow, Ammodramus savannarum
black-throated sparrow, Amphispiza bilineata
olive sparrow, Arremonops rufivirgatus
lark bunting, Calamospiza melanocorys
lark sparrow, Chondestes grammacus
dark-eyed junco, Junco hyemalis
yellow-eyed junco, Junco phaeonotus
swamp sparrow, Melospiza georgiana
Lincoln's sparrow, Melospiza lincolnii
song sparrow, Melospiza melodia
California towhee, Melozone crissalis
canyon towhee, Melozone fusca
fox sparrow, Passerella iliaca
Cassin's sparrow, Peucaea cassinii
green-tailed towhee, Pipilo chlorurus
eastern towhee, Pipilo erythrophthalmus
spotted towhee, Pipilo maculatus
vesper sparrow, Pooecetes gramineus
American tree sparrow, Spizella arborea
black-chinned sparrow, Spizella atrogularis
Brewer's sparrow, Spizella breweri
clay-colored sparrow, Spizella pallida
chipping sparrow, Spizella passerina
field sparrow, Spizella pusilla
white-throated sparrow, Zonotrichia albicollis
golden-crowned sparrow, Zonotrichia atricapilla
white-crowned sparrow, Zonotrichia leucophrys
Harris's sparrow, Zonotrichia querula
crested caracara, Caracara cheriway
merlin, Falco columbarius
prairie falcon, Falco mexicanus
peregrine falcon, Falco peregrinus
American kestrel, Falco sparverius
magnificent frigatebird, Fregata magnificens
common redpoll, Acanthis flammea
hoary redpoll, Acanthis hornemanni
evening grosbeak, Coccothraustes vespertinus
Cassin's finch, Haemorhous cassinii
house finch, Haemorhous mexicanus
purple finch, Haemorhous purpureus
black rosy-finch, Leucosticte atrata
brown-capped rosy-finch, Leucosticte australis
gray-crowned rosy-finch, Leucosticte tephrocotis
red crossbill, Loxia curvirostra
white-winged crossbill, Loxia leucoptera
pine grosbeak, Pinicola enucleator
pine siskin, Spinus pinus
lesser goldfinch, Spinus psaltria
American goldfinch, Spinus tristis
common loon, Gavia immer
Pacific loon, Gavia pacifica
red-throated loon, Gavia stellata
sandhill crane, Grus canadensis
black oystercatcher, Haematopus bachmani
American oystercatcher, Haematopus palliatus
barn swallow, Hirundo rustica
cave swallow, Petrochelidon fulva
cliff swallow, Petrochelidon pyrrhonota
purple martin, Progne subis
northern rough-winged swallow, Stelgidopteryx serripennis
tree swallow, Tachycineta bicolor
violet-green swallow, Tachycineta thalassina
red-winged blackbird, Agelaius phoeniceus
bobolink, Dolichonyx oryzivorus
rusty blackbird, Euphagus carolinus
Brewer's blackbird, Euphagus cyanocephalus
Bullock's oriole, Icterus bullockii
hooded oriole, Icterus cucullatus
Baltimore oriole, Icterus galbula
Audubon's oriole, Icterus graduacauda
Altamira oriole, Icterus gularis
Scott's oriole, Icterus parisorum
orchard oriole, Icterus spurius
bronzed cowbird, Molothrus aeneus
brown-headed cowbird, Molothrus ater
boat-tailed grackle, Quiscalus major
great-tailed grackle, Quiscalus mexicanus
common grackle, Quiscalus quiscula
eastern meadowlark, Sturnella magna
western meadowlark, Sturnella neglecta
yellow-headed blackbird, Xanthocephalus xanthocephalus
northern shrike, Lanius excubitor
loggerhead shrike, Lanius ludovicianus
Bonaparte's gull, Chroicocephalus philadelphia
herring gull, Larus argentatus
California gull, Larus californicus
mew gull, Larus canus
ring-billed gull, Larus delawarensis
glaucous-winged gull, Larus glaucescens
Iceland gull, Larus glaucoides
Heermann's gull, Larus heermanni
glaucous gull, Larus hyperboreus
great black-backed gull, Larus marinus
western gull, Larus occidentalis
Thayer's gull, Larus thayeri
laughing gull, Leucophaeus atricilla
Franklin's gull, Leucophaeus pipixcan
black-legged kittiwake, Rissa tridactyla
black skimmer, Rynchops niger
black tern, Chlidonias niger
gull-billed tern, Gelochelidon nilotica
Caspian tern, Hydroprogne caspia
roseate tern, Sterna dougallii
Forster's tern, Sterna forsteri
common tern, Sterna hirundo
arctic tern, Sterna paradisaea
least tern, Sternula antillarum
royal tern, Thalasseus maximus
sandwich tern, Thalasseus sandvicensis
gray catbird, Dumetella carolinensis
northern mockingbird, Mimus polyglottos
sage thrasher, Oreoscoptes montanus
curve-billed thrasher, Toxostoma curvirostre
long-billed thrasher, Toxostoma longirostre
California thrasher, Toxostoma redivivum
brown thrasher, Toxostoma rufum
American pipit, Anthus rubescens
California quail, Callipepla californica
Gambel's quail, Callipepla gambelii
scaled quail, Callipepla squamata
northern bobwhite, Colinus virginianus
osprey, Pandion haliaetus
black-crested titmouse, Baeolophus atricristatus
tufted titmouse, Baeolophus bicolor
oak titmouse, Baeolophus inornatus
bridled titmouse, Baeolophus wollweberi
black-capped chickadee, Poecile atricapillus
Carolina chickadee, Poecile carolinensis
mountain chickadee, Poecile gambeli
boreal chickadee, Poecile hudsonicus
chestnut-backed chickadee, Poecile rufescens
Canada warbler, Cardellina canadensis
Wilson's warbler, Cardellina pusilla
mourning warbler, Geothlypis philadelphia
common yellowthroat, Geothlypis trichas
worm-eating warbler, Helmitheros vermivorum
yellow-breasted chat, Icteria virens
black-and-white warbler, Mniotilta varia
painted redstart, Myioborus pictus
Connecticut warbler, Oporornis agilis
orange-crowned warbler, Oreothlypis celata
Tennessee warbler, Oreothlypis peregrina
Nashville warbler, Oreothlypis ruficapilla
Louisiana waterthrush, Parkesia motacilla
northern waterthrush, Parkesia noveboracensis
prothonotary warbler, Protonotaria citrea
ovenbird, Seiurus aurocapilla
northern parula, Setophaga americana
black-throated blue warbler, Setophaga caerulescens
bay-breasted warbler, Setophaga castanea
cerulean warbler, Setophaga cerulea
hooded warbler, Setophaga citrina
yellow-rumped warbler, Setophaga coronata
prairie warbler, Setophaga discolor
yellow-throated warbler, Setophaga dominica
blackburnian warbler, Setophaga fusca
magnolia warbler, Setophaga magnolia
black-throated gray warbler, Setophaga nigrescens
palm warbler, Setophaga palmarum
chestnut-sided warbler, Setophaga pensylvanica
yellow warbler, Setophaga petechia
pine warbler, Setophaga pinus
American redstart, Setophaga ruticilla
blackpoll warbler, Setophaga striata
Cape May warbler, Setophaga tigrina
Townsend's warbler, Setophaga townsendi
black-throated green warbler, Setophaga virens
golden-winged warbler, Vermivora chrysoptera
blue-winged warbler, Vermivora cyanoptera
house sparrow, Passer domesticus
American white pelican, Pelecanus erythrorhynchos
brown pelican, Pelecanus occidentalis
double-crested cormorant, Phalacrocorax auritus
neotropic cormorant, Phalacrocorax brasilianus
great cormorant, Phalacrocorax carbo
Brandt's cormorant, Phalacrocorax penicillatus
wild turkey, Meleagris gallopavo
ring-necked pheasant, Phasianus colchicus
ruffed grouse, Bonasa umbellus
greater sage-grouse, Centrocercus urophasianus
sooty grouse, Dendragapus fuliginosus
dusky grouse, Dendragapus obscurus
spruce grouse, Falcipennis canadensis
willow ptarmigan, Lagopus lagopus
white-tailed ptarmigan, Lagopus leucura
rock ptarmigan, Lagopus muta
greater prairie-chicken, Tympanuchus cupido
sharp-tailed grouse, Tympanuchus phasianellus
northern flicker, Colaptes auratus
pileated woodpecker, Dryocopus pileatus
golden-fronted woodpecker, Melanerpes aurifrons
red-bellied woodpecker, Melanerpes carolinus
red-headed woodpecker, Melanerpes erythrocephalus
acorn woodpecker, Melanerpes formicivorus
Lewis's woodpecker, Melanerpes lewis
Gila woodpecker, Melanerpes uropygialis
white-headed woodpecker, Picoides albolarvatus
black-backed woodpecker, Picoides arcticus
red-cockaded woodpecker, Picoides borealis
American three-toed woodpecker, Picoides dorsalis
Nuttall's woodpecker, Picoides nuttallii
downy woodpecker, Picoides pubescens
ladder-backed woodpecker, Picoides scalaris
hairy woodpecker, Picoides villosus
red-naped sapsucker, Sphyrapicus nuchalis
red-breasted sapsucker, Sphyrapicus ruber
Williamson's sapsucker, Sphyrapicus thyroideus
yellow-bellied sapsucker, Sphyrapicus varius
Clark's grebe, Aechmophorus clarkii
western grebe, Aechmophorus occidentalis
horned grebe, Podiceps auritus
red-necked grebe, Podiceps grisegena
eared grebe, Podiceps nigricollis
pied-billed grebe, Podilymbus podiceps
least grebe, Tachybaptus dominicus
blue-gray gnatcatcher, Polioptila caerulea
monk parakeet, Myiopsitta monachus
phainopepla, Phainopepla nitens
American coot, Fulica americana
common gallinule, Gallinula galeata
purple gallinule, Porphyrio martinicus
sora, Porzana carolina
king rail, Rallus elegans
Virginia rail, Rallus limicola
clapper rail, Rallus longirostris
black-necked stilt, Himantopus mexicanus
American avocet, Recurvirostra americana
ruby-crowned kinglet, Regulus calendula
golden-crowned kinglet, Regulus satrapa
verdin, Auriparus flaviceps
red phalarope, Phalaropus fulicarius
red-necked phalarope, Phalaropus lobatus
Wilson's phalarope, Phalaropus tricolor
spotted sandpiper, Actitis macularius
surfbird, Aphriza virgata
ruddy turnstone, Arenaria interpres
black turnstone, Arenaria melanocephala
upland sandpiper, Bartramia longicauda
sanderling, Calidris alba
dunlin, Calidris alpina
Baird's sandpiper, Calidris bairdii
red knot, Calidris canutus
white-rumped sandpiper, Calidris fuscicollis
stilt sandpiper, Calidris himantopus
purple sandpiper, Calidris maritima
western sandpiper, Calidris mauri
pectoral sandpiper, Calidris melanotos
least sandpiper, Calidris minutilla
rock sandpiper, Calidris ptilocnemis
semipalmated sandpiper, Calidris pusilla
Wilson's snipe, Gallinago delicata
short-billed dowitcher, Limnodromus griseus
long-billed dowitcher, Limnodromus scolopaceus
marbled godwit, Limosa fedoa
long-billed curlew, Numenius americanus
whimbrel, Numenius phaeopus
American woodcock, Scolopax minor
lesser yellowlegs, Tringa flavipes
wandering tattler, Tringa incana
greater yellowlegs, Tringa melanoleuca
willet, Tringa semipalmata
solitary sandpiper, Tringa solitaria
red-breasted nuthatch, Sitta canadensis
white-breasted nuthatch, Sitta carolinensis
brown-headed nuthatch, Sitta pusilla
pygmy nuthatch, Sitta pygmaea
northern saw-whet owl, Aegolius acadicus
short-eared owl, Asio flammeus
long-eared owl, Asio otus
burrowing owl, Athene cunicularia
snowy owl, Bubo scandiacus
great horned owl, Bubo virginianus
ferruginous pygmy-owl, Glaucidium brasilianum
eastern screech-owl, Megascops asio
western screech-owl, Megascops kennicottii
elf owl, Micrathene whitneyi
great gray owl, Strix nebulosa
spotted owl, Strix occidentalis
barred owl, Strix varia
northern hawk owl, Surnia ulula
European starling, Sturnus vulgaris
northern gannet, Morus bassanus
wrentit, Chamaea fasciata
white ibis, Eudocimus albus
white-faced ibis, Plegadis chihi
glossy ibis, Plegadis falcinellus
black-chinned hummingbird, Archilochus alexandri
ruby-throated hummingbird, Archilochus colubris
Anna's hummingbird, Calypte anna
Costa's hummingbird, Calypte costae
broad-billed hummingbird, Cynanthus latirostris
calliope hummingbird, Selasphorus calliope
broad-tailed hummingbird, Selasphorus platycercus
rufous hummingbird, Selasphorus rufus
Allen's hummingbird, Selasphorus sasin
cactus wren, Campylorhynchus brunneicapillus
canyon wren, Catherpes mexicanus
marsh wren, Cistothorus palustris
sedge wren, Cistothorus platensis
rock wren, Salpinctes obsoletus
Bewick's wren, Thryomanes bewickii
Carolina wren, Thryothorus ludovicianus
house wren, Troglodytes aedon
winter wren, Troglodytes hiemalis
Pacific wren, Troglodytes pacificus
elegant trogon, Trogon elegans
veery, Catharus fuscescens
hermit thrush, Catharus guttatus
gray-cheeked thrush, Catharus minimus
Swainson's thrush, Catharus ustulatus
wood thrush, Hylocichla mustelina
varied thrush, Ixoreus naevius
Townsend's solitaire, Myadestes townsendi
mountain bluebird, Sialia currucoides
western bluebird, Sialia mexicana
eastern bluebird, Sialia sialis
American robin, Turdus migratorius
olive-sided flycatcher, Contopus cooperi
western wood-pewee, Contopus sordidulus
eastern wood-pewee, Contopus virens
alder flycatcher, Empidonax alnorum
Pacific-slope flycatcher, Empidonax difficilis
yellow-bellied flycatcher, Empidonax flaviventris
Hammond's flycatcher, Empidonax hammondii
least flycatcher, Empidonax minimus
dusky flycatcher, Empidonax oberholseri
cordilleran flycatcher, Empidonax occidentalis
willow flycatcher, Empidonax traillii
acadian flycatcher, Empidonax virescens
gray flycatcher, Empidonax wrightii
vermilion flycatcher, Pyrocephalus rubinus
black phoebe, Sayornis nigricans
eastern phoebe, Sayornis phoebe
Say's phoebe, Sayornis saya
ash-throated flycatcher, Myiarchus cinerascens
great crested flycatcher, Myiarchus crinitus
brown-crested flycatcher, Myiarchus tyrannulus
great kiskadee, Pitangus sulphuratus
Couch's kingbird, Tyrannus couchii
gray kingbird, Tyrannus dominicensis
scissor-tailed flycatcher, Tyrannus forficatus
tropical kingbird, Tyrannus melancholicus
eastern kingbird, Tyrannus tyrannus
western kingbird, Tyrannus verticalis
Cassin's kingbird, Tyrannus vociferans
Bell's vireo, Vireo bellii
Cassin's vireo, Vireo cassinii
yellow-throated vireo, Vireo flavifrons
warbling vireo, Vireo gilvus
white-eyed vireo, Vireo griseus
Hutton's vireo, Vireo huttoni
red-eyed vireo, Vireo olivaceus
Philadelphia vireo, Vireo philadelphicus
plumbeous vireo, Vireo plumbeus
blue-headed vireo, Vireo solitarius
